designation,nominal_mm,pitch_mm,series
M0.25x0.075,0.25,0.075,unlabelled
M0.3x0.08,0.3,0.08,unlabelled
M0.3x0.09,0.3,0.09,unlabelled
M0.35x0.09,0.35,0.09,unlabelled
M0.4x0.1,0.4,0.1,unlabelled
M0.45x0.1,0.45,0.1,unlabelled
M0.5x0.125,0.5,0.125,unlabelled
M0.55x0.125,0.55,0.125,unlabelled
M0.6x0.15,0.6,0.15,unlabelled
M0.7x0.175,0.7,0.175,unlabelled
M0.8x0.2,0.8,0.2,unlabelled
M0.9x0.225,0.9,0.225,unlabelled
M1,1,0.25,coarse
M1x0.25,1,0.25,coarse
M1x0.2,1,0.2,fine
M1.1x0.25,1.1,0.25,unlabelled
M1.1x0.2,1.1,0.2,unlabelled
M1.2,1.2,0.25,coarse
M1.2x0.25,1.2,0.25,coarse
M1.2x0.2,1.2,0.2,fine
M1.4,1.4,0.3,coarse
M1.4x0.3,1.4,0.3,coarse
M1.4x0.2,1.4,0.2,fine
M1.6,1.6,0.35,coarse
M1.6x0.35,1.6,0.35,coarse
M1.6x0.3,1.6,0.3,fine
M1.6x0.2,1.6,0.2,fine
M1.7x0.35,1.7,0.35,unlabelled
M1.8,1.8,0.35,coarse
M1.8x0.35,1.8,0.35,coarse
M1.8x0.2,1.8,0.2,fine
M2,2,0.4,coarse
M2x0.4,2,0.4,coarse
M2x0.25,2,0.25,fine
M2.2,2.2,0.45,coarse
M2.2x0.45,2.2,0.45,coarse
M2.2x0.25,2.2,0.25,fine
M2.3x0.45,2.3,0.45,unlabelled
M2.3x0.4,2.3,0.4,unlabelled
M2.5,2.5,0.45,coarse
M2.5x0.45,2.5,0.45,coarse
M2.5x0.35,2.5,0.35,fine
M2.6x0.45,2.6,0.45,unlabelled
M3,3,0.5,coarse
M3x0.5,3,0.5,coarse
M3x0.35,3,0.35,fine
M3.5,3.5,0.6,coarse
M3.5x0.6,3.5,0.6,coarse
M3.5x0.35,3.5,0.35,fine
M4,4,0.7,coarse
M4x0.7,4,0.7,coarse
M4x0.5,4,0.5,fine
M4.5x0.75,4.5,0.75,unlabelled
M4.5x0.5,4.5,0.5,unlabelled
M5,5,0.8,coarse
M5x0.8,5,0.8,coarse
M5x0.5,5,0.5,fine
M5.5x0.5,5.5,0.5,unlabelled
M6,6,1,coarse
M6x1,6,1,coarse
M6x0.8,6,0.8,fine
M6x0.75,6,0.75,fine
M6x0.7,6,0.7,fine
M6x0.5,6,0.5,fine
M7,7,1,coarse
M7x1,7,1,coarse
M7x0.75,7,0.75,fine
M7x0.5,7,0.5,fine
M8,8,1.25,coarse
M8x1.25,8,1.25,coarse
M8x1,8,1,fine
M8x0.8,8,0.8,fine
M8x0.75,8,0.75,fine
M8x0.5,8,0.5,fine
M9x1.25,9,1.25,unlabelled
M9x1,9,1,unlabelled
M9x0.75,9,0.75,unlabelled
M9x0.5,9,0.5,unlabelled
M10,10,1.5,coarse
M10x1.5,10,1.5,coarse
M10x1.25,10,1.25,fine
M10x1.12,10,1.12,fine
M10x1,10,1,fine
M10x0.75,10,0.75,fine
M10x0.5,10,0.5,fine
M11x1.5,11,1.5,unlabelled
M11x1,11,1,unlabelled
M11x0.75,11,0.75,unlabelled
M11x0.5,11,0.5,unlabelled
M12,12,1.75,coarse
M12x1.75,12,1.75,coarse
M12x1.5,12,1.5,fine
M12x1.25,12,1.25,fine
M12x1,12,1,fine
M12x0.75,12,0.75,fine
M12x0.5,12,0.5,fine
M14,14,2,coarse
M14x2,14,2,coarse
M14x1.5,14,1.5,fine
M14x1.25,14,1.25,fine
M14x1,14,1,fine
M14x0.75,14,0.75,fine
M14x0.5,14,0.5,fine
M15x1.5,15,1.5,unlabelled
M15x1,15,1,unlabelled
M16,16,2,coarse
M16x2,16,2,coarse
M16x1.6,16,1.6,fine
M16x1.5,16,1.5,fine
M16x1.25,16,1.25,fine
M16x1,16,1,fine
M16x0.75,16,0.75,fine
M16x0.5,16,0.5,fine
M17x1.5,17,1.5,unlabelled
M17x1,17,1,unlabelled
M18,18,2.5,coarse
M18x2.5,18,2.5,coarse
M18x2,18,2,fine
M18x1.5,18,1.5,fine
M18x1.25,18,1.25,fine
M18x1,18,1,fine
M18x0.75,18,0.75,fine
M18x0.5,18,0.5,fine
M20,20,2.5,coarse
M20x2.5,20,2.5,coarse
M20x2,20,2,fine
M20x1.5,20,1.5,fine
M20x1,20,1,fine
M20x0.75,20,0.75,fine
M20x0.5,20,0.5,fine
M22x3,22,3,fine
M22,22,2.5,coarse
M22x2.5,22,2.5,coarse
M22x2,22,2,fine
M22x1.5,22,1.5,fine
M22x1,22,1,fine
M22x0.75,22,0.75,fine
M22x0.5,22,0.5,fine
M24,24,3,coarse
M24x3,24,3,coarse
M24x2.5,24,2.5,fine
M24x2,24,2,fine
M24x1.5,24,1.5,fine
M24x1,24,1,fine
M24x0.75,24,0.75,fine
M25x2,25,2,unlabelled
M25x1.5,25,1.5,unlabelled
M25x1,25,1,unlabelled
M26x1.5,26,1.5,unlabelled
M27,27,3,coarse
M27x3,27,3,coarse
M27x2,27,2,fine
M27x1.5,27,1.5,fine
M27x1,27,1,fine
M27x0.75,27,0.75,fine
M28x2,28,2,unlabelled
M28x1.5,28,1.5,unlabelled
M28x1,28,1,unlabelled
M30,30,3.5,coarse
M30x3.5,30,3.5,coarse
M30x3,30,3,fine
M30x2.5,30,2.5,fine
M30x2,30,2,fine
M30x1.5,30,1.5,fine
M30x1,30,1,fine
M30x0.75,30,0.75,fine
M32x2,32,2,unlabelled
M32x1.5,32,1.5,unlabelled
M33,33,3.5,coarse
M33x3.5,33,3.5,coarse
M33x3,33,3,fine
M33x2,33,2,fine
M33x1.5,33,1.5,fine
M33x1,33,1,fine
